"","simulation","iteration","T1N","T1S","T2N","T2S","pval","Simulation","numsig","numsig2"
"344",6,5,5,1,5,1,1,"6",0,0
"345",6,6,6,1,6,2,1,"6",0,0
"346",6,7,7,2,7,2,1,"6",0,0
"347",6,8,8,2,8,2,1,"6",0,0
"348",6,9,9,2,9,3,1,"6",0,0
"349",6,10,10,3,10,3,1,"6",0,0
"350",6,11,11,4,11,3,1,"6",0,0
"351",6,12,12,4,12,4,1,"6",0,0
"352",6,13,13,5,13,5,1,"6",0,0
"353",6,14,14,5,14,6,1,"6",0,0
"354",6,15,15,5,15,7,0.709388115014226,"6",0,0
"355",6,16,16,5,16,7,0.715000654688089,"6",0,0
"356",6,17,17,5,17,8,0.480305975474933,"6",0,0
"357",6,18,18,5,18,8,0.48769605697598,"6",0,0
"358",6,19,19,6,19,8,0.736647398647375,"6",0,0
"359",6,20,20,7,20,8,1,"6",0,0
"360",6,21,21,7,21,9,0.750678787391813,"6",0,0
"361",6,22,22,7,22,9,0.753983176461018,"6",0,0
"362",6,23,23,7,23,9,0.756888281831839,"6",0,0
"363",6,24,24,8,24,9,0.999999999999999,"6",0,0
"364",6,25,25,8,25,9,0.999999999999999,"6",0,0
"365",6,26,26,9,26,9,1,"6",0,0
"366",6,27,27,9,27,9,0.999999999999999,"6",0,0
"367",6,28,28,9,28,9,1,"6",0,0
"368",6,29,29,10,29,10,1,"6",0,0
"369",6,30,30,10,30,11,1,"6",0,0
"370",6,31,31,10,31,11,0.999999999999999,"6",0,0
"371",6,32,32,10,32,11,1,"6",0,0
"372",6,33,33,11,33,11,0.999999999999999,"6",0,0
"373",6,34,34,11,34,11,1,"6",0,0
"374",6,35,35,11,35,11,1,"6",0,0
"375",6,36,36,11,36,12,1,"6",0,0
"376",6,37,37,12,37,12,1,"6",0,0
"377",6,38,38,12,38,13,1,"6",0,0
"378",6,39,39,13,39,13,0.999999999999999,"6",0,0
"379",6,40,40,13,40,13,1,"6",0,0
"380",6,41,41,13,41,14,0.999999999999999,"6",0,0
"381",6,42,42,13,42,15,0.816961321715391,"6",0,0
"382",6,43,43,13,43,15,0.817997763342407,"6",0,0
"383",6,44,44,13,44,16,0.650136842505396,"6",0,0
"384",6,45,45,14,45,16,0.823063273758121,"6",0,0
"385",6,46,46,14,46,16,0.824001452046826,"6",0,0
"386",6,47,47,14,47,16,0.824885866341596,"6",0,0
"387",6,48,48,15,48,16,1,"6",0,0
"388",6,49,49,15,49,16,1,"6",0,0
"389",6,50,50,15,50,17,0.830256014662043,"6",0,0
"390",6,51,51,15,51,17,0.831022008207366,"6",0,0
"391",6,52,52,15,52,17,0.831748846656391,"6",0,0
"392",6,53,53,15,53,18,0.67482777134058,"6",0,0
"393",6,54,54,15,54,18,0.676103314023147,"6",0,0
"394",6,55,55,15,55,18,0.677318398614362,"6",0,0
"395",6,56,56,15,56,19,0.537554807476422,"6",0,0
"396",6,57,57,16,57,20,0.545530859928233,"6",0,0
"397",6,58,58,17,58,20,0.69031828412635,"6",0,0
"398",6,59,59,18,59,20,0.843814053341207,"6",0,0
"399",6,60,60,18,60,21,0.696681808045064,"6",0,0
